Item,System,Failure observation,Repair time
Component 2,System 05,10/22/2003,12.57
Component 2,System 05,12/5/2003,13.90
Component 2,System 05,2/4/2004,19.61
Component 2,System 05,2/28/2004,14.62
Component 2,System 05,3/4/2004,17.47
Component 2,System 05,10/22/2004,18.66
Component 2,System 05,10/29/2004,15.12
Component 2,System 05,12/19/2004,16.54
Component 2,System 05,4/4/2005,19.83
Component 2,System 05,10/19/2005,10.35
Component 2,System 05,11/3/2005,12.03
Component 2,System 05,8/9/2006,14.71
Component 2,System 05,8/13/2006,11.64
Component 2,System 05,10/10/2006,17.72
Component 2,System 05,10/16/2006,13.95
Component 2,System 05,10/30/2006,17.99
Component 2,System 05,2/16/2007,12.20
Component 2,System 05,3/26/2007,19.34
Component 2,System 05,5/14/2007,12.15
Component 2,System 05,9/24/2007,11.57
Component 2,System 05,3/23/2008,18.71
Component 2,System 05,6/10/2008,10.44
Component 2,System 05,11/11/2008,15.14
Component 2,System 05,12/7/2008,11.39
Component 2,System 05,4/15/2009,10.41
Component 2,System 05,6/11/2009,18.38
Component 2,System 05,7/11/2009,11.94
Component 2,System 05,2/17/2010,18.39
Component 2,System 05,3/4/2010,13.37
Component 2,System 05,8/13/2010,17.72
Component 2,System 05,9/9/2010,17.59
Component 2,System 05,2/25/2011,12.97
Component 2,System 05,3/5/2011,19.85
Component 2,System 05,3/18/2011,14.34
Component 2,System 05,7/29/2011,10.59
Component 2,System 05,9/4/2011,11.62
Component 2,System 05,1/5/2012,19.49
Component 2,System 05,3/28/2012,14.91
Component 2,System 05,4/12/2012,10.46
Component 2,System 05,4/13/2012,12.40
Component 2,System 05,4/16/2012,15.08
Component 2,System 05,7/18/2012,14.76
Component 2,System 05,8/20/2012,12.37
Component 2,System 05,9/29/2012,17.31
Component 2,System 05,1/1/2013,12.74
Component 2,System 05,1/2/2013,19.00
Component 2,System 05,2/14/2013,13.15
Component 2,System 05,7/4/2013,15.00
Component 2,System 05,8/19/2013,18.02
Component 2,System 05,9/20/2013,17.72
Component 2,System 05,1/16/2014,10.11
Component 2,System 05,9/29/2014,16.80
Component 2,System 05,11/12/2014,17.58
Component 2,System 05,5/19/2015,16.78
Component 2,System 05,9/8/2015,15.48
Component 2,System 06,1/12/1990,14.26
Component 2,System 06,4/23/1990,17.79
Component 2,System 06,6/28/1990,14.14
Component 2,System 06,7/30/1990,18.35
Component 2,System 06,8/10/1990,16.89
Component 2,System 06,8/19/1990,10.31
Component 2,System 06,10/31/1990,15.52
Component 2,System 06,11/11/1990,12.72
Component 2,System 06,12/10/1990,10.91
Component 2,System 06,12/15/1990,16.53
Component 2,System 06,1/17/1991,13.35
Component 2,System 06,6/11/1991,11.58
Component 2,System 06,9/11/1991,13.50
Component 2,System 06,1/21/1992,11.39
Component 2,System 06,2/4/1992,18.42
Component 2,System 06,9/3/1992,16.98
Component 2,System 06,9/28/1992,19.83
Component 2,System 06,11/28/1992,14.24
Component 2,System 06,12/10/1992,11.95
Component 2,System 06,1/15/1993,16.35
Component 2,System 06,4/8/1993,15.34
Component 2,System 06,12/29/1993,15.33
Component 2,System 06,1/15/1994,16.26
Component 2,System 06,4/4/1994,16.70
Component 2,System 06,7/14/1994,10.51
Component 2,System 06,5/3/1995,13.81
Component 2,System 06,11/11/1995,17.66
Component 2,System 06,12/17/1995,16.67
Component 2,System 06,8/4/1996,12.85
Component 2,System 06,1/12/1997,15.01
Component 2,System 06,2/22/1997,12.15
Component 2,System 06,4/14/1997,13.66
Component 2,System 06,5/23/1997,19.65
Component 2,System 06,6/17/1997,11.80
Component 2,System 06,7/30/1997,10.72
Component 2,System 06,2/7/1998,18.63
Component 2,System 06,5/23/1998,12.77
Component 2,System 06,12/25/1998,15.98
Component 2,System 06,10/12/1999,16.87
Component 2,System 06,10/20/1999,18.62
Component 2,System 06,1/6/2000,18.11
Component 2,System 06,6/30/2000,12.03
Component 2,System 06,9/18/2000,12.14
Component 2,System 06,12/24/2000,19.51
Component 2,System 06,6/17/2001,11.91
Component 2,System 06,6/30/2001,13.09
Component 2,System 06,8/3/2001,15.85
Component 2,System 06,2/2/2002,18.35
Component 2,System 06,4/1/2002,19.85
Component 2,System 06,4/16/2002,15.59
Component 2,System 06,6/12/2002,14.17
Component 2,System 06,7/24/2002,17.70
Component 2,System 06,10/9/2002,15.62
Component 2,System 06,12/9/2002,19.47
Component 2,System 06,3/21/2003,11.06
Component 2,System 06,4/2/2003,14.58
Component 2,System 06,8/12/2003,13.96
Component 2,System 06,9/4/2003,15.91
Component 2,System 06,1/30/2005,16.74
Component 2,System 06,3/4/2005,16.34
Component 2,System 06,11/15/2005,17.44
Component 2,System 06,2/17/2006,11.94
Component 2,System 06,5/14/2006,18.88
Component 2,System 06,6/11/2006,11.16
Component 2,System 06,11/13/2006,14.32
Component 2,System 06,1/9/2007,16.44
Component 2,System 06,3/7/2007,17.82
Component 2,System 06,6/29/2007,10.01
Component 2,System 06,6/30/2007,16.45
Component 2,System 06,10/31/2007,17.84
Component 2,System 06,5/15/2008,17.98
Component 2,System 06,6/28/2008,11.47
Component 2,System 06,8/2/2008,15.31
Component 2,System 06,11/27/2008,12.77
Component 2,System 06,12/16/2008,18.90
Component 2,System 06,6/24/2009,19.83
Component 2,System 06,8/4/2009,13.71
Component 2,System 06,8/15/2009,19.60
Component 2,System 06,11/2/2009,12.71
Component 2,System 06,2/28/2010,19.30
Component 2,System 06,4/24/2010,16.35
Component 2,System 06,7/31/2010,11.21
Component 2,System 06,5/4/2011,17.31
Component 2,System 06,8/25/2011,18.13
Component 2,System 06,11/19/2011,14.03
Component 2,System 06,12/26/2012,12.40
Component 2,System 06,7/20/2013,13.04
Component 2,System 06,12/15/2013,10.14
Component 2,System 06,4/21/2014,11.60
Component 2,System 06,9/13/2014,13.77
Component 2,System 06,11/2/2014,19.68
Component 2,System 06,12/1/2014,12.55
Component 2,System 06,1/30/2015,19.72
Component 2,System 06,8/12/2015,12.05
Component 2,System 06,12/11/2015,17.33
Component 2,System 06,12/26/2015,15.25
Component 2,System 07,1/23/1991,19.98
Component 2,System 07,4/3/1991,15.42
Component 2,System 07,5/19/1991,12.88
Component 2,System 07,6/13/1991,13.51
Component 2,System 07,7/8/1991,18.80
Component 2,System 07,11/17/1991,11.37
Component 2,System 07,10/14/1992,10.45
Component 2,System 07,1/11/1993,13.48
Component 2,System 07,4/25/1993,12.51
Component 2,System 07,11/21/1993,13.24
Component 2,System 07,1/31/1994,12.56
Component 2,System 07,2/17/1994,19.17
Component 2,System 07,3/19/1995,16.11
Component 2,System 07,9/18/1995,13.49
Component 2,System 07,10/14/1995,18.78
Component 2,System 07,2/25/1996,19.58
Component 2,System 07,6/1/1996,14.90
Component 2,System 07,12/11/1996,15.60
Component 2,System 07,2/1/1997,16.73
Component 2,System 07,2/13/1997,19.96
Component 2,System 07,4/26/1997,19.51
Component 2,System 07,10/20/1997,15.30
Component 2,System 07,3/8/1998,16.37
Component 2,System 07,4/5/1998,19.64
Component 2,System 07,7/6/1998,10.03
Component 2,System 07,12/6/1998,18.33
Component 2,System 07,12/30/1998,11.19
Component 2,System 07,3/28/1999,10.12
Component 2,System 07,9/20/1999,15.43
Component 2,System 07,10/11/1999,19.52
Component 2,System 07,11/22/1999,10.83
Component 2,System 07,7/27/2001,19.46
Component 2,System 07,4/4/2002,13.75
Component 2,System 07,4/21/2002,18.17
Component 2,System 07,5/28/2002,12.00
Component 2,System 07,6/4/2002,17.09
Component 2,System 07,6/28/2002,19.89
Component 2,System 07,2/5/2003,19.23
Component 2,System 07,7/26/2003,12.03
Component 2,System 07,12/15/2003,13.80
Component 2,System 07,1/3/2004,11.99
Component 2,System 07,2/5/2004,12.20
Component 2,System 07,7/5/2004,11.40
Component 2,System 07,8/2/2004,15.43
Component 2,System 07,11/20/2004,16.01
Component 2,System 07,4/29/2005,18.28
Component 2,System 07,7/21/2005,18.90
Component 2,System 07,8/4/2005,16.75
Component 2,System 07,10/17/2005,12.51
Component 2,System 07,10/27/2005,19.88
Component 2,System 07,11/12/2005,16.05
Component 2,System 07,6/6/2006,13.76
Component 2,System 07,7/5/2006,17.37
Component 2,System 07,4/25/2007,15.10
Component 2,System 07,7/3/2007,16.53
Component 2,System 07,2/19/2008,18.76
Component 2,System 07,2/24/2008,17.13
Component 2,System 07,6/18/2008,18.90
Component 2,System 07,9/25/2008,19.05
Component 2,System 07,6/18/2009,12.08
Component 2,System 07,10/7/2009,10.19
Component 2,System 07,3/25/2010,15.57
Component 2,System 07,5/18/2010,17.88
Component 2,System 07,8/23/2010,16.64
Component 2,System 07,2/24/2011,11.70
Component 2,System 07,9/7/2011,15.50
Component 2,System 07,10/17/2011,19.53
Component 2,System 07,4/28/2012,16.57
Component 2,System 07,4/30/2012,15.09
Component 2,System 07,5/31/2012,17.19
Component 2,System 07,10/12/2012,17.32
Component 2,System 07,11/8/2012,10.53
Component 2,System 07,4/10/2013,11.74
Component 2,System 07,6/14/2013,12.34
Component 2,System 07,7/17/2013,16.17
Component 2,System 07,12/23/2013,17.62
Component 2,System 07,2/20/2014,13.08
Component 2,System 07,2/25/2014,11.32
Component 2,System 07,5/22/2014,18.29
Component 2,System 07,7/13/2014,14.28
Component 2,System 07,11/24/2014,14.10
Component 2,System 07,12/25/2014,13.04
Component 2,System 07,4/4/2015,11.26
Component 2,System 07,6/12/2015,16.85
Component 2,System 07,6/17/2015,19.68
Component 2,System 07,8/3/2015,19.88
Component 2,System 07,8/7/2015,10.27
Component 2,System 07,8/7/2015,19.75
Component 2,System 07,9/19/2015,19.66
Component 2,System 07,11/8/2015,14.16
Component 2,System 07,11/23/2015,11.81
Component 2,System 08,2/19/1990,18.37
Component 2,System 08,3/6/1990,10.02
Component 2,System 08,3/26/1990,10.27
Component 2,System 08,4/3/1990,11.54
Component 2,System 08,4/21/1990,11.22
Component 2,System 08,7/14/1990,15.98
Component 2,System 08,7/21/1990,19.73
Component 2,System 08,10/31/1990,11.17
Component 2,System 08,12/5/1990,16.13
Component 2,System 08,1/4/1991,13.99
Component 2,System 08,2/23/1991,16.44
Component 2,System 08,6/7/1991,13.84
Component 2,System 08,6/10/1991,14.71
Component 2,System 08,7/19/1991,18.27
Component 2,System 08,8/3/1991,18.32
Component 2,System 08,12/2/1991,18.28
Component 2,System 08,2/4/1992,18.33
Component 2,System 08,2/7/1992,18.62
Component 2,System 08,2/8/1992,13.98
Component 2,System 08,2/25/1992,14.75
Component 2,System 08,2/29/1992,14.70
Component 2,System 08,3/4/1992,15.70
Component 2,System 08,3/25/1992,18.01
Component 2,System 08,4/13/1992,12.27
Component 2,System 08,8/21/1992,13.11
Component 2,System 08,1/20/1993,15.79
Component 2,System 08,5/7/1993,17.54
Component 2,System 08,5/12/1993,13.08
Component 2,System 08,7/12/1993,11.61
Component 2,System 08,10/19/1993,11.01
Component 2,System 08,2/16/1994,11.59
Component 2,System 08,3/29/1994,10.16
Component 2,System 08,5/12/1994,11.86
Component 2,System 08,5/31/1994,10.86
Component 2,System 08,8/29/1994,15.42
Component 2,System 08,9/3/1994,11.94
Component 2,System 08,10/22/1994,19.77
Component 2,System 08,12/16/1994,12.61
Component 2,System 08,7/7/1995,19.03
Component 2,System 08,8/15/1995,19.32
Component 2,System 08,10/19/1995,11.72
Component 2,System 08,12/3/1995,16.54
Component 2,System 08,12/26/1995,17.27
Component 2,System 08,1/13/1996,19.44
Component 2,System 08,3/18/1996,16.73
Component 2,System 08,4/16/1996,14.86
Component 2,System 08,7/13/1996,11.87
Component 2,System 08,8/18/1996,10.05
Component 2,System 08,10/26/1996,19.43
Component 2,System 08,1/29/1997,11.37
Component 2,System 08,8/1/1997,17.43
Component 2,System 08,8/14/1997,12.60
Component 2,System 08,10/16/1997,14.86
Component 2,System 08,12/19/1997,12.95
Component 2,System 08,3/14/1998,17.52
Component 2,System 08,3/22/1998,19.99
Component 2,System 08,3/26/1998,16.63
Component 2,System 08,4/6/1998,11.25
Component 2,System 08,7/25/1998,12.83
Component 2,System 08,8/18/1998,16.90
Component 2,System 08,11/6/1998,14.04
Component 2,System 08,11/11/1998,10.76
Component 2,System 08,4/30/1999,12.05
Component 2,System 08,9/21/1999,17.78
Component 2,System 08,10/23/1999,17.53
Component 2,System 08,5/27/2000,18.33
Component 2,System 08,6/4/2000,12.04
Component 2,System 08,7/15/2000,11.30
Component 2,System 08,1/10/2001,14.02
Component 2,System 08,4/5/2001,18.59
Component 2,System 08,8/31/2001,12.63
Component 2,System 08,9/6/2001,13.94
Component 2,System 08,9/22/2001,11.82
Component 2,System 08,1/7/2002,19.77
Component 2,System 08,6/21/2002,11.88
Component 2,System 08,7/17/2002,17.39
Component 2,System 08,8/5/2002,12.04
Component 2,System 08,12/5/2002,13.32
Component 2,System 08,12/24/2002,16.14
Component 2,System 08,7/7/2003,18.66
Component 2,System 08,10/13/2003,14.52
Component 2,System 08,4/6/2004,16.27
Component 2,System 08,12/12/2004,12.99
Component 2,System 08,4/8/2005,11.78
Component 2,System 08,5/25/2005,13.57
Component 2,System 08,7/27/2005,18.35
Component 2,System 08,8/30/2005,19.41
Component 2,System 08,12/18/2005,17.28
Component 2,System 08,1/6/2006,12.00
Component 2,System 08,8/6/2006,18.75
Component 2,System 08,11/8/2006,10.58
Component 2,System 08,2/9/2007,19.99
Component 2,System 08,4/4/2007,19.75
Component 2,System 08,4/19/2007,17.93
Component 2,System 08,8/14/2007,15.43
Component 2,System 08,12/20/2007,10.52
Component 2,System 08,7/16/2008,11.01
Component 2,System 08,8/14/2008,17.24
Component 2,System 08,3/18/2009,19.03
Component 2,System 08,4/19/2009,14.50
Component 2,System 08,7/14/2009,11.91
Component 2,System 08,7/27/2009,19.47
Component 2,System 08,8/20/2009,19.77
Component 2,System 08,10/9/2009,11.16
Component 2,System 08,5/4/2010,12.18
Component 2,System 08,9/1/2010,12.76
Component 2,System 08,10/4/2010,12.94
Component 2,System 08,11/13/2011,18.02
Component 2,System 08,12/9/2011,12.69
Component 2,System 08,2/11/2012,13.23
Component 2,System 08,3/15/2012,18.66
Component 2,System 08,8/19/2012,14.74
Component 2,System 08,2/11/2013,14.27
Component 2,System 08,5/23/2013,16.24
Component 2,System 08,6/17/2013,13.52
Component 2,System 08,12/13/2013,14.51
Component 2,System 08,12/23/2013,11.15
Component 2,System 08,2/14/2014,11.25
Component 2,System 08,6/22/2014,19.39
Component 2,System 08,6/30/2015,16.85
Component 2,System 08,9/22/2015,18.42
Component 2,System 08,10/16/2015,18.42
Component 3,System 01,2/8/1990,51.84
Component 3,System 01,5/28/1990,53.93
Component 3,System 01,6/10/1990,53.54
Component 3,System 01,1/10/1991,58.58
Component 3,System 01,2/2/1991,53.47
Component 3,System 01,12/25/1991,56.75
Component 3,System 01,2/10/1992,56.73
Component 3,System 01,4/6/1992,56.09
Component 3,System 01,4/6/1993,51.19
Component 3,System 01,1/9/1994,53.29
Component 3,System 01,11/16/1994,52.36
Component 3,System 01,1/26/1995,54.52
Component 3,System 01,4/28/1995,55.49
Component 3,System 01,7/13/1995,53.73
Component 3,System 01,5/25/1996,56.96
Component 3,System 01,6/3/1996,59.64
Component 3,System 01,12/27/1996,53.71
Component 3,System 01,12/29/1996,54.16
Component 3,System 01,2/28/1997,53.83
Component 3,System 01,6/2/1997,53.18
Component 3,System 01,10/8/1997,59.75
Component 3,System 01,10/12/1997,57.07
Component 3,System 01,2/12/1998,51.09
Component 3,System 01,5/15/1998,59.15
Component 3,System 01,6/27/1998,50.36
Component 3,System 01,10/27/1999,52.70
Component 3,System 01,11/20/1999,53.91
Component 3,System 01,11/14/2000,55.37
Component 3,System 01,12/1/2000,57.69
Component 3,System 01,5/15/2001,50.63
Component 3,System 01,5/19/2001,53.14
Component 3,System 01,12/10/2001,56.15
Component 3,System 01,10/9/2002,51.88
Component 3,System 01,1/2/2003,54.49
Component 3,System 01,2/14/2003,56.54
Component 3,System 01,3/24/2003,53.85
Component 3,System 01,9/11/2004,59.83
Component 3,System 01,11/7/2004,51.38
Component 3,System 01,6/18/2005,56.10
Component 3,System 01,9/15/2005,50.73
Component 3,System 01,3/28/2006,55.47
Component 3,System 01,5/12/2006,52.37
Component 3,System 01,12/4/2006,54.87
Component 3,System 01,3/2/2007,58.85
Component 3,System 01,2/10/2008,53.01
Component 3,System 01,5/27/2008,50.42
Component 3,System 01,9/2/2008,50.17
Component 3,System 01,12/19/2008,58.24
Component 3,System 01,2/22/2009,53.95
Component 3,System 01,11/20/2009,59.55
Component 3,System 01,12/19/2009,51.61
Component 3,System 01,3/25/2010,53.07
Component 3,System 01,4/4/2010,58.16
Component 3,System 01,5/9/2010,52.45
Component 3,System 01,5/12/2010,50.88
Component 3,System 01,7/16/2010,58.06
Component 3,System 01,9/17/2011,51.84
Component 3,System 01,10/29/2011,57.39
Component 3,System 01,10/9/2012,54.99
Component 3,System 01,6/21/2013,52.35
Component 3,System 01,12/18/2013,59.29
Component 3,System 01,8/22/2014,56.14
Component 3,System 02,5/23/1990,59.96
Component 3,System 02,8/23/1990,54.86
Component 3,System 02,3/23/1991,52.12
Component 3,System 02,5/5/1991,54.61
Component 3,System 02,3/13/1992,58.31
Component 3,System 02,6/22/1993,50.93
Component 3,System 02,7/28/1993,51.55
Component 3,System 02,8/24/1993,57.05
Component 3,System 02,12/22/1993,53.75
Component 3,System 02,1/25/1994,59.88
Component 3,System 02,3/30/1994,51.77
Component 3,System 02,11/11/1994,54.68
Component 3,System 02,9/1/1996,58.16
Component 3,System 02,4/4/1997,51.79
Component 3,System 02,8/3/1997,57.15
Component 3,System 02,10/15/1997,57.20
Component 3,System 02,3/9/1998,51.74
Component 3,System 02,5/9/1998,54.72
Component 3,System 02,7/31/1998,55.83
Component 3,System 02,11/26/1998,50.31
Component 3,System 02,5/5/2002,57.24
Component 3,System 02,2/1/2005,55.55
Component 3,System 02,4/1/2005,56.18
Component 3,System 02,12/30/2005,58.65
Component 3,System 02,7/19/2006,51.73
Component 3,System 02,7/29/2006,50.58
Component 3,System 02,10/10/2006,54.58
Component 3,System 02,6/14/2008,58.73
Component 3,System 02,6/16/2008,57.39
Component 3,System 02,10/27/2009,52.31
Component 3,System 02,11/26/2009,54.25
Component 3,System 02,5/8/2010,52.19
Component 3,System 02,5/15/2010,53.93
Component 3,System 02,8/5/2010,51.64
Component 3,System 02,4/20/2011,57.77
Component 3,System 02,12/26/2011,53.87
Component 3,System 02,9/10/2012,56.92
Component 3,System 02,2/4/2013,58.38
Component 3,System 02,2/7/2013,55.04
Component 3,System 02,4/4/2013,58.21
Component 3,System 02,8/10/2013,52.58
Component 3,System 02,3/23/2014,50.59
Component 3,System 02,4/7/2014,54.38
Component 3,System 02,6/18/2014,53.76
Component 3,System 02,4/6/2015,56.79
Component 3,System 02,10/22/2015,52.74
Component 3,System 03,10/5/1990,54.86
Component 3,System 03,3/14/1991,57.03
Component 3,System 03,7/3/1991,56.86
Component 3,System 03,1/10/1992,53.62
Component 3,System 03,6/8/1992,50.71
Component 3,System 03,7/5/1992,55.07
Component 3,System 03,12/17/1992,50.45
Component 3,System 03,3/11/1993,58.53
Component 3,System 03,6/29/1993,51.10
Component 3,System 03,7/3/1994,53.63
Component 3,System 03,4/3/1995,51.89
Component 3,System 03,5/3/1995,55.79
Component 3,System 03,9/3/1995,54.21
Component 3,System 03,11/13/1995,52.65
Component 3,System 03,12/2/1997,55.56
Component 3,System 03,5/28/1998,59.24
Component 3,System 03,7/14/1998,52.47
Component 3,System 03,6/1/1999,51.51
Component 3,System 03,12/20/1999,56.44
Component 3,System 03,2/18/2001,54.56
Component 3,System 03,1/27/2002,56.88
Component 3,System 03,5/18/2002,59.35
Component 3,System 03,6/12/2002,53.47
Component 3,System 03,4/14/2003,56.23
Component 3,System 03,10/7/2003,57.50
Component 3,System 03,11/6/2003,59.40
Component 3,System 03,1/7/2005,57.15
Component 3,System 03,6/7/2005,58.33
Component 3,System 03,8/20/2005,56.88
Component 3,System 03,9/10/2006,54.96
Component 3,System 03,5/25/2007,57.18
Component 3,System 03,10/1/2007,53.45
Component 3,System 03,12/5/2007,58.85
Component 3,System 03,2/17/2008,58.26
Component 3,System 03,4/30/2008,53.48
Component 3,System 03,3/9/2009,58.12
Component 3,System 03,6/26/2009,57.01
Component 3,System 03,5/13/2010,50.52
Component 3,System 03,6/26/2010,56.19
Component 3,System 03,7/22/2010,51.70
Component 3,System 03,4/23/2011,55.81
Component 3,System 03,5/25/2012,57.54
Component 3,System 03,8/14/2013,52.98
Component 3,System 03,10/20/2013,59.13
Component 3,System 03,10/21/2013,57.10
Component 3,System 03,12/30/2013,50.93
Component 3,System 03,1/20/2014,59.11
Component 3,System 03,5/6/2014,53.77
Component 3,System 03,7/31/2014,54.74
Component 3,System 03,8/8/2014,54.47
Component 3,System 04,8/28/1990,57.60
Component 3,System 04,10/28/1990,51.52
Component 3,System 04,6/25/1991,51.86
Component 3,System 04,3/16/1992,52.36
Component 3,System 04,10/23/1994,53.32
Component 3,System 04,5/7/1995,51.59
Component 3,System 04,6/16/1995,56.84
Component 3,System 04,11/27/1995,59.08
Component 3,System 04,2/3/1996,57.84
Component 3,System 04,3/10/1996,55.29
Component 3,System 04,7/18/1996,56.58
Component 3,System 04,10/5/1996,57.17
Component 3,System 04,9/5/1997,57.45
Component 3,System 04,12/1/1997,54.30
Component 3,System 04,9/14/1998,59.13
Component 3,System 04,10/13/1998,53.29
Component 3,System 04,11/4/1998,59.90
Component 3,System 04,4/22/1999,59.13
Component 3,System 04,6/30/1999,55.52
Component 3,System 04,12/14/1999,52.44
Component 3,System 04,2/24/2000,50.28
Component 3,System 04,6/16/2000,54.08
Component 3,System 04,9/13/2002,54.72
Component 3,System 04,10/27/2002,56.45
Component 3,System 04,1/26/2003,52.59
Component 3,System 04,1/3/2004,51.47
Component 3,System 04,3/15/2006,55.43
Component 3,System 04,6/14/2006,50.63
Component 3,System 04,12/19/2006,51.63
Component 3,System 04,5/5/2008,52.38
Component 3,System 04,6/5/2008,51.42
Component 3,System 04,7/7/2008,50.68
Component 3,System 04,8/10/2008,50.17
Component 3,System 04,2/16/2009,54.43
Component 3,System 04,2/24/2009,53.89
Component 3,System 04,2/15/2010,51.41
Component 3,System 04,8/7/2011,58.12
Component 3,System 04,10/23/2011,57.77
Component 3,System 04,3/15/2013,54.68
Component 3,System 04,9/23/2013,52.47
Component 3,System 04,11/10/2013,50.22
Component 3,System 04,1/5/2014,56.00
Component 3,System 04,3/18/2014,59.10
Component 3,System 04,9/25/2014,51.92
Component 3,System 04,4/29/2015,53.90
Component 3,System 04,11/15/2015,51.42
Component 3,System 05,7/15/1990,55.75
Component 3,System 05,7/26/1990,50.02
Component 3,System 05,8/12/1990,58.83
Component 3,System 05,9/3/1990,54.87
Component 3,System 05,10/17/1990,50.88
Component 3,System 05,11/8/1990,53.75
Component 3,System 05,10/12/1991,59.80
Component 3,System 05,1/9/1992,57.20
Component 3,System 05,2/15/1992,55.29
Component 3,System 05,3/13/1993,51.43
Component 3,System 05,6/23/1993,51.73
Component 3,System 05,7/14/1993,59.96
Component 3,System 05,9/23/1993,50.15
Component 3,System 05,11/7/1993,50.95
Component 3,System 05,5/5/1994,53.41
Component 3,System 05,1/23/1995,54.42
Component 3,System 05,3/11/1995,56.32
Component 3,System 05,5/9/1995,56.91
Component 3,System 05,6/15/1996,51.26
Component 3,System 05,9/18/1996,58.20
Component 3,System 05,12/15/1996,53.64
Component 3,System 05,5/2/1997,59.72
Component 3,System 05,3/13/1998,54.33
Component 3,System 05,7/15/1999,56.81
Component 3,System 05,11/1/1999,55.85
Component 3,System 05,12/22/1999,57.07
Component 3,System 05,7/9/2000,57.86
Component 3,System 05,9/2/2000,52.90
Component 3,System 05,1/7/2001,58.28
Component 3,System 05,4/1/2001,53.93
Component 3,System 05,6/26/2001,54.16
Component 3,System 05,7/25/2003,55.37
Component 3,System 05,12/19/2003,56.80
Component 3,System 05,6/12/2004,58.31
Component 3,System 05,11/7/2004,54.66
Component 3,System 05,6/26/2005,58.10
Component 3,System 05,12/6/2005,53.84
Component 3,System 05,1/27/2006,51.26
Component 3,System 05,3/20/2006,52.24
Component 3,System 05,10/4/2006,51.86
Component 3,System 05,10/16/2006,51.07
Component 3,System 05,2/21/2007,51.90
Component 3,System 05,3/21/2007,58.63
Component 3,System 05,2/1/2008,53.15
Component 3,System 05,8/6/2008,51.72
Component 3,System 05,2/19/2009,51.30
Component 3,System 05,8/4/2009,53.91
Component 3,System 05,9/22/2010,54.31
Component 3,System 05,1/31/2011,53.96
Component 3,System 05,2/3/2011,50.30
Component 3,System 05,4/4/2011,50.83
Component 3,System 05,8/7/2011,51.48
Component 3,System 05,2/12/2012,54.32
Component 3,System 05,8/10/2013,56.96
Component 3,System 05,11/6/2013,53.99
Component 3,System 05,4/15/2014,54.88
Component 3,System 05,6/28/2014,51.78
Component 3,System 05,8/23/2014,54.53
Component 3,System 05,11/14/2014,53.39
Component 3,System 06,10/14/1990,58.60
Component 3,System 06,1/31/1991,55.16
Component 3,System 06,5/17/1991,56.94
Component 3,System 06,12/14/1991,52.11
Component 3,System 06,3/2/1992,53.34
Component 3,System 06,8/15/1992,54.74
Component 3,System 06,10/10/1992,56.67
Component 3,System 06,4/10/1993,51.68
Component 3,System 06,12/7/1993,51.98
Component 3,System 06,4/18/1994,50.63
Component 3,System 06,5/26/1994,58.94
Component 3,System 06,5/9/1995,54.37
Component 3,System 06,6/9/1995,54.68
Component 3,System 06,11/24/1995,50.06
Component 3,System 06,4/22/1996,55.65
Component 3,System 06,6/7/1996,56.24
Component 3,System 06,10/9/1996,50.74
Component 3,System 06,12/26/1997,52.11
Component 3,System 06,2/4/1998,58.49
Component 3,System 06,4/7/1998,58.81
Component 3,System 06,5/10/1998,55.75
Component 3,System 06,2/15/2000,52.49
Component 3,System 06,2/28/2000,56.68
Component 3,System 06,6/12/2000,59.63
Component 3,System 06,3/17/2001,52.97
Component 3,System 06,7/27/2003,57.06
Component 3,System 06,7/29/2003,59.19
Component 3,System 06,10/21/2003,57.15
Component 3,System 06,2/4/2005,57.37
Component 3,System 06,5/3/2005,54.33
Component 3,System 06,5/20/2005,53.10
Component 3,System 06,8/7/2005,52.88
Component 3,System 06,12/23/2005,55.19
Component 3,System 06,1/26/2006,50.10
Component 3,System 06,6/18/2006,57.48
Component 3,System 06,7/10/2006,59.95
Component 3,System 06,7/30/2006,59.42
Component 3,System 06,7/20/2007,54.03
Component 3,System 06,9/29/2008,51.69
Component 3,System 06,1/19/2009,50.62
Component 3,System 06,5/1/2009,56.33
Component 3,System 06,5/16/2009,54.27
Component 3,System 06,11/26/2009,56.17
Component 3,System 06,12/1/2009,59.82
Component 3,System 06,5/3/2011,58.59
Component 3,System 06,8/11/2011,58.71
Component 3,System 06,10/25/2011,58.11
Component 3,System 06,3/13/2012,56.61
Component 3,System 06,9/17/2012,56.76
Component 3,System 06,9/22/2012,57.24
Component 3,System 06,1/17/2013,57.02
Component 3,System 06,2/14/2013,51.19
Component 3,System 06,12/10/2014,53.88
Component 3,System 06,7/12/2015,59.28
Component 3,System 06,11/8/2015,51.90
Component 3,System 07,1/25/1990,53.02
Component 3,System 07,3/2/1990,58.67
Component 3,System 07,11/19/1990,58.81
Component 3,System 07,7/27/1991,54.75
Component 3,System 07,8/29/1992,59.13
Component 3,System 07,6/9/1993,53.54
Component 3,System 07,8/25/1995,54.56
Component 3,System 07,10/16/1995,56.68
Component 3,System 07,3/19/1997,52.34
Component 3,System 07,9/18/1997,54.78
Component 3,System 07,10/1/1997,52.13
Component 3,System 07,5/31/1999,53.26
Component 3,System 07,12/24/1999,53.59
Component 3,System 07,3/25/2001,52.53
Component 3,System 07,4/23/2001,56.46
Component 3,System 07,1/9/2002,51.92
Component 3,System 07,6/26/2002,51.92
